zipcode,airbnb_count,average_price,total_major_crime_reports
10001,982,1008.2921511627907,6108
10002,1087,1539.9478527607362,4845
10003,888,366.8141962421712,3949
10004,104,350.2837837837838,503
10005,258,880.0877192982456,271
10006,122,336.3974358974359,550
10007,126,716.0126582278481,1417
10009,792,212.63565891472868,2146
10010,343,422.6244131455399,1819
10011,717,346.36255924170615,3607
10012,538,904.4041095890411,2939
10013,577,1552.6796657381615,3301
10014,523,472.62989323843414,2351
10016,1112,1127.7958387516255,2543
10017,500,1101.8679775280898,1428
10018,552,3614.5365853658536,3145
10019,1316,481.7178329571106,5427
10021,399,246.63120567375887,1167
10022,551,3626.1617647058824,1450
10023,404,2007.6315789473683,1878
10024,576,2732.581151832461,1747
10025,1051,172.91846153846154,3596
10026,430,138.56884057971016,2163
10027,682,185.73672055427252,5239
10028,367,253.32793522267207,1020
10029,574,141.54874651810584,5136
10030,368,196.98473282442748,2280
10031,543,144.54458598726114,3191
10032,306,109.0828729281768,2861
10033,237,950.056,2885
10034,146,113.61764705882354,2208
10035,258,166.98765432098764,4098
10036,1510,1417.4190476190477,5752
10037,146,136.67415730337078,1094
10038,330,1898.9195402298851,1457
10039,119,95.6268656716418,1601
10040,128,97.53191489361703,1553
10044,51,258.11764705882354,200
10065,338,3645.2738095238096,1135
10069,40,322.1923076923077,188
10075,205,303.0,503
10128,496,216.71703296703296,1976
10280,42,1124.5,109
10282,30,699.6666666666666,234
10301,100,129.01136363636363,3012
10302,14,84.15384615384616,1211
10303,40,92.14285714285714,1586
10304,71,145.3125,2860
10305,50,131.525,1522
10306,44,120.43333333333334,1716
10307,4,137.0,356
10308,9,104.0,441
10309,9,282.2857142857143,937
10310,40,99.65789473684211,1227
10312,16,106.4,1089
10314,36,143.83333333333334,2669
10451,97,139.97530864197532,6017
10452,53,81.08108108108108,5574
10453,46,103.23529411764706,4514
10454,65,148.32558139534885,3802
10455,62,105.10526315789474,6277
10456,74,172.45098039215685,6190
10457,92,100.08974358974359,6445
10458,85,84.46969696969697,5474
10459,27,599.6,4551
10460,35,192.15384615384616,4853
10461,64,118.79245283018868,3267
10462,64,100.51851851851852,3571
10463,67,127.62857142857143,3283
10464,17,168.53333333333333,183
10465,53,184.04255319148936,2328
10466,112,92.63529411764706,4272
10467,87,105.23728813559322,6619
10468,50,79.57142857142857,4665
10469,122,110.20370370370371,3320
10470,23,140.7,1216
10471,24,239.8,632
10472,20,117.125,3860
10473,65,113.89830508474576,3268
10474,31,59.285714285714285,2249
10475,19,130.875,1448
11101,398,2633.0864661654136,4438
11102,260,137.54666666666665,1226
11103,274,129.19444444444446,1636
11104,187,133.0909090909091,833
11105,196,129.6829268292683,1189
11106,285,129.53048780487805,1369
11109,30,342.5,203
11201,458,295.57587548638134,5720
11203,373,130.19182389937106,3973
11204,34,117.79166666666667,1658
11205,553,145.19631901840492,2063
11206,1196,121.6080476900149,5006
11207,588,153.88392857142858,7384
11208,265,112.66517857142857,7095
11209,233,159.5792349726776,2079
11210,130,132.45263157894738,2723
11211,1852,906.089914945322,3908
11212,174,119.93793103448276,7467
11213,603,178.21103117505996,4271
11214,80,132.63636363636363,3099
11215,623,214.04022988505747,1530
11216,1218,149.64979480164158,3696
11217,402,295.73809523809524,3169
11218,228,157.89830508474577,1500
11219,54,97.75757575757575,1712
11220,190,104.78861788617886,3728
11221,1760,120.55475763016157,4201
11222,741,303.3790523690773,1781
11223,67,177.9047619047619,2256
11224,55,172.02083333333334,4260
11225,525,161.54098360655738,2882
11226,627,122.48157894736842,5152
11228,35,137.53333333333333,839
11229,89,124.77049180327869,2490
11230,138,118.52702702702703,2076
11231,246,279.5289855072464,1738
11232,144,684.978021978022,1399
11233,865,164.2904761904762,5190
11234,134,177.98245614035088,3429
11235,148,153.83018867924528,2399
11236,298,146.0733590733591,3772
11237,613,136.89589905362777,3422
11238,797,223.7450980392157,2142
11239,2,450.0,378
11354,158,117.14141414141415,3428
11355,280,112.3862433862434,1935
11356,54,128.1627906976744,950
11357,20,102.88235294117646,1048
11358,88,98.734375,728
11360,9,462.0,334
11361,39,119.54838709677419,844
11362,6,70.5,420
11363,3,147.0,121
11364,13,167.1,801
11365,54,113.725,1437
11366,18,148.66666666666666,453
11367,48,144.5151515151515,1159
11368,112,136.9255319148936,4072
11369,151,116.8135593220339,2114
11370,71,172.71666666666667,783
11372,213,100.07058823529412,3423
11373,338,110.23611111111111,4454
11374,80,110.43478260869566,1243
11375,116,135.83333333333334,2733
11377,633,123.375,2431
11378,67,116.6078431372549,1097
11379,60,120.86,929
11385,499,116.15789473684211,3210
11411,65,119.02173913043478,696
11412,141,112.64957264957265,1312
11413,160,139.6058394160584,1935
11414,52,131.9318181818182,1008
11415,42,110.33333333333333,710
11416,35,139.85185185185185,744
11417,52,160.0,1291
11418,73,91.61290322580645,1340
11419,37,136.37037037037038,1777
11420,51,172.8139534883721,1779
11421,118,88.31182795698925,1272
11422,121,149.97029702970298,1300
11423,30,119.05,1103
11426,11,141.25,464
11427,18,189.07692307692307,645
11428,18,97.57142857142857,866
11429,85,151.6056338028169,998
11432,99,192.65,4238
11433,59,115.55102040816327,2846
11434,243,139.36923076923077,4349
11435,86,111.49230769230769,3959
11436,63,121.55813953488372,881
11691,101,131.68055555555554,3855
11692,104,225.80722891566265,993
11693,62,157.20754716981133,727
11694,11,211.63636363636363,638
11697,7,115.71428571428571,44
99999,23,89.0,1262
